,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8303436711164686,0.8303466140019463
1,KNN,N=5,0.7947289241106861,0.7947316198217795
2,KNN,N=7,0.7679986035936577,0.7679999809185797
3,KNN,N=9,0.7610450370883137,0.7610456379872917
4,KNN,N=11,0.7547883012179766,0.7547893172667774
5,Decision Trees,Depth=7,0.7508480483132725,0.7508491232087315
6,Decision Trees,Depth=6,0.7452094311136043,0.7452136642051636
7,Decision Trees,Depth=5,0.7390278266785222,0.7390261558570419
8,SVM,"Kernel rbf, gamma auto",0.7381032743938463,0.7381033306619345
9,Decision Trees,Depth=3,0.735398184671755,0.7353961541397142
10,Decision Trees,Depth=4,0.735243505815376,0.735236585761444
11,SVM,Kernel linear,0.7275947199131124,0.7275934035529603
12,SVM,Kernel polinomial grau 3,0.7084365619759746,0.7084368500391168
13,SVM,Kernel polinomial grau 2,0.6668747948655214,0.6668729845249681
14,SVM,Kernel sigmoide,0.6622352049554523,0.6622381075047226
15,GaussianNB,Var smoothing 1e-8,0.6137205277699869,0.6137215686835729
16,GaussianNB,Var smoothing 1e-7,0.6137205277699869,0.6137215686835729
17,GaussianNB,Var smoothing 1e-6,0.6137205277699869,0.6137215686835729
18,GaussianNB,Var smoothing 1e-5,0.6137205277699869,0.6137215686835729
19,GaussianNB,Var smoothing 1e-9,0.6137205277699869,0.6137215686835729
