,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8188357998610579,0.8188335008318145
1,KNN,N=5,0.7846921611442681,0.784690496874308
2,KNN,N=7,0.7699388825826726,0.7699381391202638
3,KNN,N=9,0.7577991478794301,0.7577990415680128
4,KNN,N=11,0.7521504039687963,0.7521496584734357
5,Decision Trees,Depth=7,0.7459952606298419,0.7459982057789815
6,Decision Trees,Depth=6,0.7395043408709588,0.7395001163972497
7,Decision Trees,Depth=4,0.7374810872706143,0.7374821855428938
8,SVM,"Kernel rbf, gamma auto",0.737143179838924,0.7371415106659627
9,Decision Trees,Depth=5,0.7371428246702969,0.7371437818318088
10,Decision Trees,Depth=3,0.7309058504796907,0.7308976499111405
11,SVM,Kernel linear,0.7248340297006213,0.7248332112581692
12,SVM,Kernel polinomial grau 3,0.7102503086415368,0.7102519006819176
13,SVM,Kernel sigmoide,0.6639689241658154,0.6639682377456407
14,SVM,Kernel polinomial grau 2,0.662955343938195,0.6629531685602513
15,GaussianNB,Var smoothing 1e-8,0.6243443231977679,0.6243450525490999
16,GaussianNB,Var smoothing 1e-7,0.6243443231977679,0.6243450525490999
17,GaussianNB,Var smoothing 1e-6,0.6243443231977679,0.6243450525490999
18,GaussianNB,Var smoothing 1e-5,0.6243443231977679,0.6243450525490999
19,GaussianNB,Var smoothing 1e-9,0.6243443231977679,0.6243450525490999
