,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8157199471598414,0.8157149139339113
1,KNN,N=5,0.7755614266842801,0.7755598134885735
2,KNN,N=7,0.7586525759577278,0.758644651058899
3,KNN,N=9,0.7498018494055482,0.7498035068615543
4,KNN,N=11,0.7430647291941875,0.7430644553335846
5,Decision Trees,Depth=7,0.741215323645971,0.7412056232636708
6,Decision Trees,Depth=6,0.7369881109643328,0.7369996928704052
7,Decision Trees,Depth=5,0.7284015852047555,0.7284070444360683
8,Decision Trees,Depth=4,0.7231175693527081,0.7231233683740281
9,SVM,"Kernel rbf, gamma auto",0.7225891677675034,0.7225907777358965
10,Decision Trees,Depth=3,0.7207397622192866,0.7207431140148819
11,SVM,Kernel linear,0.7117569352708057,0.7117571302927502
12,SVM,Kernel polinomial grau 3,0.7109643328929987,0.7109603384009715
13,SVM,Kernel polinomial grau 2,0.6595772787318362,0.659577208191984
14,SVM,Kernel sigmoide,0.6426684280052839,0.6426609987296003
15,GaussianNB,Var smoothing 1e-8,0.6221928665785997,0.6222016305789392
16,GaussianNB,Var smoothing 1e-7,0.6221928665785997,0.6222016305789392
17,GaussianNB,Var smoothing 1e-6,0.6221928665785997,0.6222016305789392
18,GaussianNB,Var smoothing 1e-5,0.6221928665785997,0.6222016305789392
19,GaussianNB,Var smoothing 1e-9,0.6221928665785997,0.6222016305789392
