,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8230664613275038,0.8230664317095545
1,KNN,N=5,0.7840981011295376,0.7840983233442075
2,KNN,N=7,0.7636850283288803,0.7636853321930326
3,KNN,N=9,0.7478203385684483,0.7478202095302467
4,Decision Trees,Depth=7,0.7425326828629654,0.7425271223731127
5,KNN,N=11,0.7396563842047328,0.739656771799629
6,Decision Trees,Depth=6,0.7352951664332484,0.7352928802477395
7,Decision Trees,Depth=5,0.7301912307085406,0.7301896324599457
8,Decision Trees,Depth=4,0.7242537936927113,0.7242501258698816
9,Decision Trees,Depth=3,0.7223968696113542,0.722388631018477
10,SVM,"Kernel rbf, gamma auto",0.7210998048244368,0.7210976888220648
11,SVM,Kernel linear,0.7090387129782275,0.709038664468829
12,SVM,Kernel polinomial grau 3,0.7041228899764514,0.704121635135974
13,SVM,Kernel sigmoide,0.6502122297386921,0.6502086336393293
14,SVM,Kernel polinomial grau 2,0.6458567828245505,0.6458578463490838
15,GaussianNB,Var smoothing 1e-9,0.6136592748013361,0.613659640943231
16,GaussianNB,Var smoothing 1e-8,0.6136592748013361,0.613659640943231
17,GaussianNB,Var smoothing 1e-7,0.6136592748013361,0.613659640943231
18,GaussianNB,Var smoothing 1e-6,0.6136592748013361,0.613659640943231
19,GaussianNB,Var smoothing 1e-5,0.6136592748013361,0.613659640943231
