,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8211033337191569,0.8211026372581294
1,KNN,N=5,0.7894693503745536,0.7894693579786304
2,KNN,N=7,0.7693074770587245,0.7693082938090071
3,KNN,N=9,0.756908882675098,0.7569112704276755
4,KNN,N=11,0.7525633410701122,0.7525630865145845
5,Decision Trees,Depth=7,0.7492163211514601,0.7492173370561388
6,Decision Trees,Depth=6,0.7369618014307964,0.7369640846816311
7,Decision Trees,Depth=5,0.7353950021626429,0.7353930689166067
8,SVM,"Kernel rbf, gamma auto",0.7336843312965907,0.7336853944913859
9,Decision Trees,Depth=4,0.7315478837574346,0.7315471182803565
10,Decision Trees,Depth=3,0.7292682753481042,0.7292683224209615
11,SVM,Kernel linear,0.7238530377518261,0.7238532865137716
12,SVM,Kernel polinomial grau 3,0.7032621894881339,0.7032623317930022
13,SVM,Kernel sigmoide,0.6612974233074019,0.6612968449630361
14,SVM,Kernel polinomial grau 2,0.646266445731877,0.6462684565394979
15,GaussianNB,Var smoothing 1e-8,0.6251066599249065,0.6251049579152289
16,GaussianNB,Var smoothing 1e-7,0.6251066599249065,0.6251049579152289
17,GaussianNB,Var smoothing 1e-6,0.6251066599249065,0.6251049579152289
18,GaussianNB,Var smoothing 1e-5,0.6251066599249065,0.6251049579152289
19,GaussianNB,Var smoothing 1e-9,0.6251066599249065,0.6251049579152289
