,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8288776541961577,0.8288647667697273
1,KNN,N=5,0.7998795079204584,0.7998857373302865
2,KNN,N=7,0.7720323559150659,0.7720459739212261
3,Decision Trees,Depth=7,0.7653699022581733,0.7653532060760855
4,KNN,N=9,0.7589829794405123,0.7589948245731953
5,KNN,N=11,0.7476685203909673,0.7476676972711386
6,Decision Trees,Depth=6,0.7433333333333334,0.7433257158220191
7,SVM,"Kernel rbf, gamma auto",0.7262192450286485,0.7261913563651028
8,Decision Trees,Depth=5,0.7224502864846647,0.7223165075951068
9,Decision Trees,Depth=4,0.7169388270980788,0.7169024734507327
10,SVM,Kernel linear,0.7099764071452647,0.7099408522650894
11,Decision Trees,Depth=3,0.7062091338051903,0.7061937088318322
12,SVM,Kernel polinomial grau 3,0.6740023592854736,0.6740102836402742
13,SVM,Kernel polinomial grau 2,0.6525471857094709,0.6525457050678853
14,GaussianNB,Var smoothing 1e-9,0.6516793056959892,0.651676972711386
15,GaussianNB,Var smoothing 1e-8,0.6516793056959892,0.651676972711386
16,GaussianNB,Var smoothing 1e-7,0.6516793056959892,0.651676972711386
17,GaussianNB,Var smoothing 1e-6,0.6516793056959892,0.651676972711386
18,GaussianNB,Var smoothing 1e-5,0.6516793056959892,0.651676972711386
19,SVM,Kernel sigmoide,0.6496638018200203,0.6496370479903213
