,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.81735807860262,0.8173580786026202
1,KNN,N=5,0.7787117903930132,0.778711790393013
2,KNN,N=7,0.7597161572052402,0.7597161572052402
3,KNN,N=9,0.7458515283842795,0.7458515283842794
4,Decision Trees,Depth=7,0.7442139737991267,0.7442139737991267
5,KNN,N=11,0.7421397379912664,0.7421397379912663
6,Decision Trees,Depth=6,0.7341703056768558,0.7341703056768558
7,Decision Trees,Depth=5,0.7308951965065502,0.7308951965065502
8,Decision Trees,Depth=4,0.725655021834061,0.7256550218340612
9,SVM,"Kernel rbf, gamma auto",0.7246724890829694,0.7246724890829694
10,Decision Trees,Depth=3,0.7244541484716157,0.7244541484716157
11,SVM,Kernel linear,0.7156113537117904,0.7156113537117903
12,SVM,Kernel polinomial grau 3,0.7111353711790394,0.7111353711790392
13,SVM,Kernel sigmoide,0.651528384279476,0.6515283842794759
14,SVM,Kernel polinomial grau 2,0.6419213973799126,0.6419213973799127
15,GaussianNB,Var smoothing 1e-9,0.6137554585152839,0.6137554585152839
16,GaussianNB,Var smoothing 1e-8,0.6137554585152839,0.6137554585152839
17,GaussianNB,Var smoothing 1e-7,0.6137554585152839,0.6137554585152839
18,GaussianNB,Var smoothing 1e-6,0.6137554585152839,0.6137554585152839
19,GaussianNB,Var smoothing 1e-5,0.6137554585152839,0.6137554585152839
