,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8235618852333821,0.823560000305773
1,KNN,N=5,0.7885872013990715,0.7885881696428572
2,KNN,N=7,0.7681703629032259,0.7681717068248533
3,KNN,N=9,0.7531249045393451,0.7531259555406067
4,Decision Trees,Depth=7,0.7471674914467255,0.747166822101272
5,KNN,N=11,0.7459958073680352,0.7459974315068493
6,Decision Trees,Depth=6,0.7356399491385631,0.7356342114114481
7,Decision Trees,Depth=4,0.733587831439394,0.7335794168909001
8,Decision Trees,Depth=5,0.7302645596590909,0.7302577666340508
9,SVM,"Kernel rbf, gamma auto",0.7288000977517106,0.7287959806139922
10,Decision Trees,Depth=3,0.7282140647910558,0.7282102342221135
11,SVM,Kernel linear,0.7176650896566471,0.7176633592221134
12,SVM,Kernel polinomial grau 3,0.713655264846041,0.7136516175391389
13,SVM,Kernel polinomial grau 2,0.6557239163306452,0.6557219682607632
14,SVM,Kernel sigmoide,0.6498612956683774,0.6498562866927593
15,GaussianNB,Var smoothing 1e-9,0.6186948237414468,0.6186955341854208
16,GaussianNB,Var smoothing 1e-8,0.6186948237414468,0.6186955341854208
17,GaussianNB,Var smoothing 1e-7,0.6186948237414468,0.6186955341854208
18,GaussianNB,Var smoothing 1e-6,0.6186948237414468,0.6186955341854208
19,GaussianNB,Var smoothing 1e-5,0.6186948237414468,0.6186955341854208
