,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8292238666501767,0.829227059796087
1,KNN,N=5,0.7959551194844099,0.795958941857261
2,Decision Trees,Depth=7,0.7820883318904508,0.7820790851474235
3,KNN,N=7,0.7765723983454947,0.7765830807384955
4,Decision Trees,Depth=6,0.7689890203515137,0.7689969688619455
5,KNN,N=11,0.7642639238158058,0.7642601267566822
6,KNN,N=9,0.7613836555770842,0.7613846789749241
7,Decision Trees,Depth=5,0.7548467109150623,0.7548484430972721
8,SVM,"Kernel rbf, gamma auto",0.753528191175056,0.7535285202535132
9,SVM,Kernel polinomial grau 3,0.7514380728586937,0.7514315238357675
10,Decision Trees,Depth=4,0.7443631391625785,0.7443758611187655
11,SVM,Kernel linear,0.7430494290307952,0.7430490493248829
12,Decision Trees,Depth=3,0.7399142515562518,0.7399435106089832
13,GaussianNB,Var smoothing 1e-9,0.7186997567712413,0.7186910994764399
14,GaussianNB,Var smoothing 1e-8,0.7186997567712413,0.7186910994764399
15,GaussianNB,Var smoothing 1e-7,0.7186997567712413,0.7186910994764399
16,GaussianNB,Var smoothing 1e-6,0.7186997567712413,0.7186910994764399
17,GaussianNB,Var smoothing 1e-5,0.7186997567712413,0.7186910994764399
18,SVM,Kernel polinomial grau 2,0.6922462244575449,0.6922402865803251
19,SVM,Kernel sigmoide,0.6760048645751742,0.6759933866078811
