,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8203274215552522,0.8203343458257024
1,KNN,N=5,0.7845839017735334,0.7845877815994402
2,Decision Trees,Depth=7,0.7648021828103684,0.7647980226619615
3,KNN,N=7,0.7630286493860845,0.7630272777355906
4,KNN,N=9,0.7630286493860845,0.7630295111746401
5,Decision Trees,Depth=6,0.7568894952251024,0.7568927651464391
6,KNN,N=11,0.7567530695770804,0.756744985929334
7,Decision Trees,Depth=5,0.7496589358799455,0.7496597727848007
8,SVM,"Kernel rbf, gamma auto",0.7470668485675307,0.7470626554101338
9,SVM,Kernel polinomial grau 3,0.7387448840381992,0.7387397447923647
10,Decision Trees,Depth=4,0.737380627557981,0.7373624573785381
11,Decision Trees,Depth=3,0.7345156889495226,0.7345140781108084
12,SVM,Kernel linear,0.7326057298772171,0.7326067211625795
13,GaussianNB,Var smoothing 1e-9,0.7096862210095499,0.7096856806777743
14,GaussianNB,Var smoothing 1e-8,0.7096862210095499,0.7096856806777743
15,GaussianNB,Var smoothing 1e-7,0.7096862210095499,0.7096856806777743
16,GaussianNB,Var smoothing 1e-6,0.7096862210095499,0.7096856806777743
17,GaussianNB,Var smoothing 1e-5,0.7096862210095499,0.7096856806777743
18,SVM,Kernel polinomial grau 2,0.664392905866303,0.6643922812346452
19,SVM,Kernel sigmoide,0.6410641200545703,0.6410699662006223
