,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8320142648448912,0.8320208871662361
1,KNN,N=5,0.7954111884506316,0.795428509905254
2,Decision Trees,Depth=7,0.7796371487496777,0.7796586993970714
3,KNN,N=7,0.7706142046919309,0.7706244616709733
4,Decision Trees,Depth=6,0.7675958150726132,0.7676098191214471
5,KNN,N=9,0.7615724628340638,0.7615816106804478
6,SVM,"Kernel rbf, gamma auto",0.7583284996133024,0.7583473298880276
7,Decision Trees,Depth=5,0.7574009624473662,0.7574214039621017
8,KNN,N=11,0.756245166279969,0.7562575366063738
9,SVM,Kernel polinomial grau 3,0.7469740912606342,0.7469875107665805
10,Decision Trees,Depth=4,0.7444208129242932,0.7444519810508182
11,Decision Trees,Depth=3,0.7439573128813267,0.7439911714039622
12,SVM,Kernel linear,0.7286730901435077,0.7286854005167959
13,GaussianNB,Var smoothing 1e-9,0.6990225143937441,0.6990406976744187
14,GaussianNB,Var smoothing 1e-8,0.6990225143937441,0.6990406976744187
15,GaussianNB,Var smoothing 1e-7,0.6990225143937441,0.6990406976744187
16,GaussianNB,Var smoothing 1e-6,0.6990225143937441,0.6990406976744187
17,GaussianNB,Var smoothing 1e-5,0.6990225143937441,0.6990406976744187
18,SVM,Kernel polinomial grau 2,0.6855831614677322,0.6855824720068906
19,SVM,Kernel sigmoide,0.6730724198676634,0.6730717054263565
