,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8165229885057471,0.8165222610783445
1,KNN,N=5,0.7820485378059269,0.78204988517146
2,Decision Trees,Depth=7,0.7734962663226209,0.773490918106373
3,Decision Trees,Depth=6,0.7626433523601011,0.7626376637611567
4,KNN,N=7,0.762512706231918,0.7625146797849575
5,KNN,N=9,0.7576626723486329,0.7576693720966647
6,KNN,N=11,0.7571508392629083,0.7571529698836057
7,Decision Trees,Depth=5,0.7507695415330884,0.7507767237329716
8,SVM,"Kernel rbf, gamma auto",0.7503852594677717,0.7503872201054336
9,Decision Trees,Depth=4,0.7465559595485703,0.746555143796649
10,SVM,Kernel polinomial grau 3,0.7423435178669169,0.7423433503836318
11,Decision Trees,Depth=3,0.7372343094325853,0.7372230413904692
12,SVM,Kernel linear,0.7328933393280683,0.7328915261756876
13,GaussianNB,Var smoothing 1e-9,0.7065893215523757,0.7065895923586825
14,GaussianNB,Var smoothing 1e-8,0.7065893215523757,0.7065895923586825
15,GaussianNB,Var smoothing 1e-7,0.7065893215523757,0.7065895923586825
16,GaussianNB,Var smoothing 1e-6,0.7065893215523757,0.7065895923586825
17,GaussianNB,Var smoothing 1e-5,0.7065893215523757,0.7065895923586825
18,SVM,Kernel polinomial grau 2,0.6730075650950036,0.6730117046818727
19,SVM,Kernel sigmoide,0.6433846143821513,0.6433980113784644
