,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8249915041841893,0.8250035466023551
1,KNN,N=5,0.7945014372088413,0.794492126542772
2,Decision Trees,Depth=7,0.7803810373391105,0.7803667186835013
3,KNN,N=7,0.7781282301799697,0.7781252659951766
4,KNN,N=9,0.7679665264857058,0.7679571570435524
5,Decision Trees,Depth=6,0.767399784772666,0.7674045963966519
6,KNN,N=11,0.7576164988743044,0.7576138459355938
7,Decision Trees,Depth=5,0.7534779745975106,0.7534955312810327
8,SVM,"Kernel rbf, gamma auto",0.7534726647126291,0.7534664491417222
9,SVM,Kernel polinomial grau 3,0.7493334324511846,0.7493382040005676
10,Decision Trees,Depth=4,0.7461411296603089,0.7461661228543055
11,Decision Trees,Depth=3,0.7380481571159538,0.7380231238473542
12,SVM,Kernel linear,0.737857355252538,0.7378493403319619
13,GaussianNB,Var smoothing 1e-9,0.7049289891395155,0.7049155908639524
14,GaussianNB,Var smoothing 1e-8,0.7049289891395155,0.7049155908639524
15,GaussianNB,Var smoothing 1e-7,0.7049289891395155,0.7049155908639524
16,GaussianNB,Var smoothing 1e-6,0.7049289891395155,0.7049155908639524
17,GaussianNB,Var smoothing 1e-5,0.7049289891395155,0.7049155908639524
18,SVM,Kernel polinomial grau 2,0.6924971326621638,0.6925088665058873
19,SVM,Kernel sigmoide,0.668420344646928,0.6684097035040433
