,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8534290548947394,0.8534312256517831
1,KNN,N=5,0.8188921514955456,0.8189017081210668
2,Decision Trees,Depth=7,0.809733489274872,0.809731795025472
3,KNN,N=7,0.801287761907132,0.8012985715712716
4,KNN,N=9,0.7995359080276713,0.799560483468185
5,KNN,N=11,0.7928370576817796,0.7928578563580062
6,Decision Trees,Depth=6,0.7854215398397452,0.7854260313654979
7,SVM,"Kernel rbf, gamma auto",0.7755661175533769,0.7755768654480072
8,Decision Trees,Depth=5,0.7744898720947594,0.7744930576365998
9,SVM,Kernel polinomial grau 3,0.7660441447270194,0.7660498451703125
10,Decision Trees,Depth=4,0.7635656696361917,0.7635800619318748
11,SVM,Kernel linear,0.7431431344249241,0.7431375486964338
12,Decision Trees,Depth=3,0.7413663962574031,0.7413045649785237
13,GaussianNB,Var smoothing 1e-9,0.7304608570148808,0.7304639896114274
14,GaussianNB,Var smoothing 1e-8,0.7304608570148808,0.7304639896114274
15,GaussianNB,Var smoothing 1e-7,0.7304608570148808,0.7304639896114274
16,GaussianNB,Var smoothing 1e-6,0.7304608570148808,0.7304639896114274
17,GaussianNB,Var smoothing 1e-5,0.7304608570148808,0.7304639896114274
18,SVM,Kernel polinomial grau 2,0.7195378987707162,0.7195509939067026
19,SVM,Kernel sigmoide,0.6842942815906037,0.6842947757466786
