,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8266311761519791,0.8266350210970463
1,KNN,N=5,0.7894270697506469,0.7894328912999798
2,KNN,N=7,0.772964352344079,0.7729701627486436
3,KNN,N=9,0.7697957832654617,0.7697985734378138
4,Decision Trees,Depth=7,0.7637720917169852,0.7637648181635524
5,KNN,N=11,0.7604555758390339,0.7604550934297768
6,Decision Trees,Depth=6,0.7580748861561918,0.7580791641551137
7,Decision Trees,Depth=5,0.745252161527814,0.7452858147478401
8,SVM,"Kernel rbf, gamma auto",0.7427185098998976,0.742720012055455
9,Decision Trees,Depth=4,0.7392347389115127,0.7392148884870403
10,SVM,Kernel polinomial grau 3,0.7379699191558508,0.7379787020293349
11,Decision Trees,Depth=3,0.7352777889225461,0.7352858147478399
12,SVM,Kernel linear,0.7314783145098198,0.7314767932489451
13,GaussianNB,Var smoothing 1e-9,0.7132735862304159,0.7132680329515773
14,GaussianNB,Var smoothing 1e-8,0.7132735862304159,0.7132680329515773
15,GaussianNB,Var smoothing 1e-7,0.7132735862304159,0.7132680329515773
16,GaussianNB,Var smoothing 1e-6,0.7132735862304159,0.7132680329515773
17,GaussianNB,Var smoothing 1e-5,0.7132735862304159,0.7132680329515773
18,SVM,Kernel polinomial grau 2,0.67147811390399,0.6714858348402652
19,SVM,Kernel sigmoide,0.6624398182511184,0.6624457504520795
