,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8281148156691568,0.8281141130465695
1,KNN,N=5,0.7918072880624117,0.7918064936603864
2,KNN,N=7,0.7751140053586955,0.7751155350159973
3,Decision Trees,Depth=7,0.769439170525992,0.7694614290792748
4,KNN,N=9,0.7668538661272484,0.7668610024884465
5,KNN,N=11,0.7604902674024523,0.7604970968124185
6,Decision Trees,Depth=5,0.7580835861856853,0.758101078326816
7,Decision Trees,Depth=6,0.7565345328294031,0.7565546865742386
8,Decision Trees,Depth=4,0.7494839446149842,0.7494928309041357
9,SVM,"Kernel rbf, gamma auto",0.7484506509099728,0.7484630880436072
10,SVM,Kernel polinomial grau 3,0.737264226271803,0.7372633013390213
11,Decision Trees,Depth=3,0.7339969598571014,0.7340235809930087
12,SVM,Kernel linear,0.7300376764791123,0.7300533238535369
13,GaussianNB,Var smoothing 1e-9,0.7052605118559658,0.7052701741912549
14,GaussianNB,Var smoothing 1e-8,0.7052605118559658,0.7052701741912549
15,GaussianNB,Var smoothing 1e-7,0.7052605118559658,0.7052701741912549
16,GaussianNB,Var smoothing 1e-6,0.7052605118559658,0.7052701741912549
17,GaussianNB,Var smoothing 1e-5,0.7052605118559658,0.7052701741912549
18,SVM,Kernel polinomial grau 2,0.6787657256418902,0.6787723663941224
19,SVM,Kernel sigmoide,0.6514088755611548,0.6514243393767033
