,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8433544990773907,0.8433716903542313
1,KNN,N=5,0.8042611888997431,0.8042619580116874
2,KNN,N=7,0.7925268642136112,0.7925293990332588
3,KNN,N=9,0.7862259850211657,0.7862221340451626
4,Decision Trees,Depth=7,0.7757145699916784,0.7756691436404299
5,KNN,N=11,0.7757082383588407,0.7756961979655147
6,Decision Trees,Depth=6,0.7651904916965158,0.7651937089676071
7,Decision Trees,Depth=4,0.7582627808531424,0.7582371401774763
8,Decision Trees,Depth=5,0.7525489344766454,0.7525142486112114
9,SVM,Kernel polinomial grau 3,0.7453480589022758,0.74531599451699
10,SVM,"Kernel rbf, gamma auto",0.742928470639314,0.7429063559627732
11,Decision Trees,Depth=3,0.739618835703173,0.7396363898708607
12,SVM,Kernel linear,0.7351188537935526,0.7350822451482577
13,GaussianNB,Var smoothing 1e-9,0.7170809363580448,0.7170712791284901
14,GaussianNB,Var smoothing 1e-8,0.7170809363580448,0.7170712791284901
15,GaussianNB,Var smoothing 1e-7,0.7170809363580448,0.7170712791284901
16,GaussianNB,Var smoothing 1e-6,0.7170809363580448,0.7170712791284901
17,GaussianNB,Var smoothing 1e-5,0.7170809363580448,0.7170712791284901
18,SVM,Kernel polinomial grau 2,0.6815984659358153,0.6816102734290455
19,SVM,Kernel sigmoide,0.658749412062665,0.6587313325156916
