,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Vasco,Cruzeiro,20.73325466188121,29.779133009418658,49.48760339127817,28.811667252374683,49.94996422058631
1,Cuiabá,Bahia,44.2684382488212,29.805859606085576,25.92569580769074,43.02651363257461,30.15718749592985
2,Atlético-MG,Corinthians,59.160924690882965,26.0114246500067,14.827595435862479,54.76040785853156,22.310344493657187
3,Coritiba,América-MG,36.321806253030864,22.317386523369972,41.360333193965,16.523835919677733,18.67808854149243
4,Palmeiras,Flamengo,63.02723886720276,18.659468302054325,18.30924776072072,29.360848017745774,9.229742816079495
5,Santos,Goiás,44.21844335243846,31.362531369836503,24.419022114193854,47.28574800094703,32.654471635451024
6,Fluminense,Internacional,58.594312268251954,25.65979953885452,15.745821037782049,52.132090453787725,21.633982163039366
7,Bragantino,São Paulo,47.11085377811888,27.06358259156821,25.82553429058599,38.20720429019362,24.613031034860605
8,Grêmio,Botafogo,20.903109199612672,25.679255113896847,53.41756353750397,21.396627136703746,42.41655754922385
9,Fortaleza,Athletico-PR,49.00507081054858,29.238792545496867,21.756125517732,47.56410370361375,28.023183652106777
