,clube,xGA_geral
0,Atlético-MG,0.981757841604376
1,Palmeiras,1.0409170510746963
2,Cuiabá,1.1241289592546522
3,São Paulo,1.1530723199190152
4,Cruzeiro,1.155061317364769
5,Bragantino,1.2067661508704075
6,Athletico-PR,1.2139151966539554
7,Fortaleza,1.2265594971286098
8,Botafogo,1.230943625481759
9,Bahia,1.2381261664327954
10,Santos,1.2472242675302185
11,Corinthians,1.2550842297020208
12,Vasco,1.3204270674669443
13,Internacional,1.3740406559694798
14,Fluminense,1.4322406095994378
15,Coritiba,1.470635857253472
16,América-MG,1.478480317489377
17,Goiás,1.4921240409101557
18,Flamengo,1.607916179518129
19,Grêmio,1.6218831575719042
