,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Santos,Athletico-PR,33.003300330033,38.02281368821293,32.05128205128205,3.03,2.63,3.12
1,Goiás,Fortaleza,27.027027027027025,38.02281368821293,38.02281368821293,3.7,2.63,2.63
2,Internacional,Corinthians,42.016806722689076,35.97122302158274,25.0,2.38,2.78,4.0
3,Vasco,Grêmio,30.959752321981426,39.0625,33.003300330033,3.23,2.56,3.03
4,Coritiba,Bragantino,30.959752321981426,38.02281368821293,34.01360544217687,3.23,2.63,2.94
5,São Paulo,Atlético-MG,33.003300330033,38.02281368821293,32.05128205128205,3.03,2.63,3.12
6,Cruzeiro,Botafogo,38.02281368821293,38.02281368821293,27.027027027027025,2.63,2.63,3.7
7,Cuiabá,Flamengo,23.980815347721823,39.0625,40.0,4.17,2.56,2.5
8,Bahia,América-MG,39.0625,38.02281368821293,25.97402597402597,2.56,2.63,3.85
9,Fluminense,Palmeiras,30.03003003003003,39.0625,34.01360544217687,3.33,2.56,2.94
