,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Internacional,10.0,Vasco,1.4437090592457822,1.0050699135148538,47.59,25.58,26.83,27.96,14.44,8.6,36.56,23.04,59.6
1,Coritiba,10.0,Santos,1.4027791547739346,1.094020907891108,43.55,29.14,27.3,25.01,16.16,8.66,33.67,24.82,58.49
2,São Paulo,10.0,Palmeiras,1.1010389749931928,1.179613255735819,33.37,38.12,28.51,20.16,23.22,9.88,30.04,33.1,63.14
3,Corinthians,10.0,Cuiabá,1.2734110681338875,1.1407437291717888,38.88,33.39,27.73,22.8,19.05,9.39,32.19,28.44,60.629999999999995
4,Goiás,10.0,Fluminense,1.3517054419882835,1.1489010368946346,41.63,31.8,26.56,23.66,18.02,8.18,31.84,26.2,58.04
5,América-MG,10.0,Athletico-PR,1.1745290258812275,1.2286194204149916,34.02,38.2,27.78,19.59,22.47,8.97,28.560000000000002,31.439999999999998,60.0
6,Flamengo,10.0,Grêmio,1.7787844451008978,1.2705028667266456,49.5,26.92,23.57,23.12,12.07,4.87,27.990000000000002,16.94,44.93000000000001
7,Atlético-MG,10.0,Bragantino,1.5307278712648362,1.4036819606905495,40.38,35.16,24.45,18.77,16.4,5.44,24.21,21.84,46.05
8,Botafogo,10.0,Fortaleza,1.506786987698343,1.691388733043294,34.19,42.36,23.45,14.2,18.09,4.04,18.24,22.13,40.37
9,Bahia,10.0,Cruzeiro,1.5183009728857613,1.6284839894472563,35.97,40.33,23.7,15.57,17.55,4.17,19.740000000000002,21.72,41.46
