,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1155,Tiquinho Soares,84042,Botafogo,ATA,9.533333333333333,13.55,Goiás,visitante,5.0,9.275
1156,Marlon,91706,Cruzeiro,LAT,7.366666666666667,12.75,América-MG,visitante,4.5,8.625
1157,Ronald Lopes,100969,Cuiabá,MEI,1.3,11.4,Fluminense,visitante,3.75,7.575
1158,Oliveira,94514,Cruzeiro,ZAG,1.4333333333333333,9.2,América-MG,visitante,4.5,6.85
1159,Bruno Rodrigues,92811,Cruzeiro,ATA,6.0,9.05,América-MG,visitante,4.5,6.775
1160,Alemão,98219,Internacional,ATA,0.3500000000000001,8.2,Atlético-MG,visitante,5.0,6.6
1161,Tchê Tchê,86686,Botafogo,MEI,2.033333333333333,7.6,Goiás,visitante,5.0,6.3
1162,Guilherme,94207,Fortaleza,ATA,2.9333333333333336,11.7,Grêmio,visitante,0.5,6.1
1163,Raniele,95556,Cuiabá,MEI,2.766666666666667,8.25,Fluminense,visitante,3.75,6.0
1164,Pepa,123907,Cruzeiro,TEC,5.6499999999999995,7.415,América-MG,visitante,4.5,5.9575
1165,Júnior Santos,101002,Botafogo,ATA,1.9333333333333333,6.5,Goiás,visitante,5.0,5.75
1166,Luís Castro,88037,Botafogo,TEC,7.816666666666667,6.5,Goiás,visitante,5.0,5.75
1167,Rafael Cabral,68940,Cruzeiro,GOL,4.833333333333333,7.0,América-MG,visitante,4.5,5.75
1168,Marcos Leonardo,109497,Santos,ATA,6.75,5.95,Vasco,visitante,5.25,5.6
1169,Wanderson,93478,Internacional,ATA,6.1,6.050000000000001,Atlético-MG,visitante,5.0,5.525
1170,Lucas Perri,91260,Botafogo,GOL,6.666666666666667,6.0,Goiás,visitante,5.0,5.5
1171,Keiller,93834,Internacional,GOL,1.5,6.0,Atlético-MG,visitante,5.0,5.5
1172,Patryck,106829,São Paulo,LAT,5.9,6.4,Corinthians,visitante,4.5,5.45
1173,Ângelo,110415,Santos,ATA,5.7,5.55,Vasco,visitante,5.25,5.4
