,clube,xG_mean,xG_total
0,Fortaleza,2.152170199765952,8.608680799063809
1,Flamengo,1.7574831945674863,7.029932778269944
2,América-MG,1.650654909302967,6.602619637211868
3,Fluminense,1.5526719577955983,6.210687831182391
4,Palmeiras,1.543379507984537,6.173518031938148
5,Bragantino,1.4509961614663411,5.803984645865365
6,Botafogo,1.4339104563482157,5.7356418253928645
7,Atlético-MG,1.4036481593418646,5.61459263736746
8,Internacional,1.3917082877696714,5.5668331510786855
9,Grêmio,1.2845177164227817,5.138070865691127
10,Cruzeiro,1.2790542341762823,5.116216936705129
11,Santos,1.2702264677280926,5.080905870912371
12,Bahia,1.260397268062643,5.041589072250574
13,São Paulo,1.2485055601251003,4.994022240500399
14,Coritiba,1.2139174516691527,4.8556698066766115
15,Cuiabá,1.1976692569615324,4.790677027846128
16,Goiás,1.165628848708767,4.662515394835068
17,Corinthians,1.0341038943749743,4.136415577499896
18,Vasco,0.8986491809607521,3.594596723843007
19,Athletico-PR,0.8408331322055056,3.3633325288220224
