,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Cruzeiro,84.22666666666667,1,85.65,4,83.51500000000001,2
1,Fluminense,82.88333333333334,2,84.56,5,82.045,3
2,Fortaleza,81.86666666666667,3,67.91999999999999,9,109.76000000000002,1
3,São Paulo,71.79,4,102.35,1,56.510000000000005,9
4,Flamengo,66.94333333333334,5,78.595,6,43.63999999999999,14
5,Botafogo,65.47333333333334,6,62.42000000000001,11,67.0,5
6,Internacional,65.39,7,70.76,8,54.64999999999999,10
7,Palmeiras,61.17333333333334,8,60.504999999999995,12,62.51,7
8,Santos,61.06333333333333,9,71.63,7,39.92999999999999,15
9,Grêmio,60.70333333333334,10,88.38000000000001,2,46.864999999999995,13
10,Atlético-MG,60.076666666666675,11,52.75,14,74.73,4
11,Bahia,56.913333333333334,12,40.47,18,65.13499999999999,6
12,Vasco,50.153333333333336,13,44.455,16,61.55,8
13,Athletico-PR,49.133333333333326,14,88.16,3,29.619999999999997,19
14,Coritiba,45.35,15,49.675000000000004,15,36.7,16
15,América-MG,43.526666666666664,16,31.529999999999998,20,49.525,12
16,Cuiabá,42.876666666666665,17,38.95,19,50.73000000000001,11
17,Corinthians,39.61333333333334,18,57.62000000000001,13,30.61,18
18,Goiás,39.46,19,65.15,10,26.614999999999995,20
19,Bragantino,38.15333333333333,20,41.40999999999999,17,31.639999999999997,17
