,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,21,16,6,10,12,1
1,Palmeiras,16,17,7,10,9,2
2,São Paulo,15,14,7,7,11,3
3,Atlético-MG,14,12,7,5,10,4
4,Grêmio,14,12,11,1,8,5
5,Fortaleza,13,12,6,6,6,6
6,Cruzeiro,13,12,7,5,7,7
7,Fluminense,13,12,8,4,7,8
8,Flamengo,13,14,10,4,10,9
9,Bragantino,13,13,11,2,9,10
10,Athletico-PR,12,11,11,0,9,11
11,Santos,11,8,7,1,7,12
12,Internacional,10,7,11,-4,3,13
13,Corinthians,8,8,12,-4,5,14
14,Cuiabá,8,7,13,-6,7,15
15,Bahia,7,9,14,-5,4,16
16,Goiás,7,7,15,-8,4,17
17,Vasco,6,8,13,-5,2,18
18,América-MG,4,7,20,-13,4,19
19,Coritiba,3,7,17,-10,2,20
