,clube,xGA_geral
0,Bahia,0.9211105160771158
1,Atlético-MG,0.9469931705864439
2,Palmeiras,0.9533891401493294
3,Cruzeiro,1.0913298664054212
4,Flamengo,1.1655884458838992
5,Athletico-PR,1.2121966361078993
6,Corinthians,1.241950301747971
7,Bragantino,1.290714580412099
8,Coritiba,1.3297471362286029
9,Santos,1.3319269347228353
10,América-MG,1.3874690026411038
11,São Paulo,1.4221952507905091
12,Fortaleza,1.4417679032525412
13,Vasco,1.4448003692445806
14,Goiás,1.4498576457922527
15,Fluminense,1.4759114438539966
16,Internacional,1.532765021487497
17,Cuiabá,1.568987341424298
18,Botafogo,1.592654450624381
19,Grêmio,1.9082524537135939
