,clube,ranking_clube,fase
0,Botafogo,1,100.0
1,Palmeiras,2,86.67
2,Fluminense,3,66.67
3,Cruzeiro,4,60.0
4,Fortaleza,6,60.0
5,Athletico-PR,4,60.0
6,São Paulo,7,53.33
7,Atlético-MG,8,46.67
8,Grêmio,10,46.67
9,Santos,9,46.67
10,Internacional,11,46.67
11,Bragantino,15,40.0
12,Bahia,13,40.0
13,Vasco,14,40.0
14,Flamengo,12,40.0
15,Cuiabá,17,26.67
16,Corinthians,16,26.67
17,Goiás,18,20.0
18,Coritiba,19,13.33
19,América-MG,20,6.67
