,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Santos,16.0,Botafogo,1.4350925415808626,1.0380849668962926,46.08,27.98,25.94,26.72,15.59,8.3,35.019999999999996,23.89,58.91
1,Cuiabá,16.0,São Paulo,1.2977239889714707,1.0955866560999512,40.92,31.95,27.13,24.2,18.39,9.35,33.55,27.740000000000002,61.29
2,Vasco,16.0,Athletico-PR,1.3937324794075552,1.138024031064468,42.5,31.02,26.48,24.06,16.96,7.83,31.89,24.79,56.68
3,Bahia,16.0,Corinthians,1.5628725352752353,1.2196293638267623,45.68,30.09,24.23,23.2,14.7,6.05,29.25,20.75,50.0
4,Bragantino,16.0,Internacional,1.574504213854218,1.320694803471461,43.94,31.26,24.8,21.96,14.95,5.52,27.48,20.47,47.95
5,Coritiba,16.0,Fluminense,1.617502496445116,1.2924269697419128,45.1,30.28,24.62,21.39,14.08,5.46,26.85,19.54,46.39
6,Cruzeiro,16.0,Goiás,1.6426705488351718,1.3159824972087215,44.55,30.76,24.69,21.27,13.98,5.33,26.6,19.310000000000002,45.910000000000004
7,Grêmio,16.0,Atlético-MG,1.3445988509335123,1.4145045298117127,34.95,38.82,26.22,17.83,19.8,6.55,24.38,26.35,50.730000000000004
8,Flamengo,16.0,América-MG,1.5925542782837314,1.412500314415795,41.46,34.46,24.09,19.09,15.67,4.83,23.92,20.5,44.42
9,Palmeiras,16.0,Fortaleza,1.7481162290291326,1.8170419002342215,37.16,41.14,21.7,13.01,14.89,2.89,15.9,17.78,33.68
