,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
0,Flamengo,1.8333333333333333,0.6666666666666666,2.25,1.5
1,Botafogo,2.0,0.16666666666666666,1.5,1.5
2,Corinthians,1.2,0.8,0.2,2.0
3,Bahia,1.6,1.8,0.6,1.4
4,Fluminense,1.75,0.5,1.5,1.5
5,Vasco,0.75,2.25,1.0,1.5
6,Palmeiras,2.6,1.0,1.8,0.6
7,São Paulo,2.0,1.0,0.8,1.2
8,Santos,1.4,0.8,0.4,1.0
9,Bragantino,1.6,1.2,1.4,1.6
10,Atlético-MG,1.4,1.0,1.4,0.6
11,Cruzeiro,0.6,1.0,2.2,0.8
12,Grêmio,1.8,1.0,1.0,2.0
13,Internacional,1.4,0.8,0.6,1.8
14,Goiás,1.4,1.8,0.6,1.8
15,Athletico-PR,1.6,1.0,1.0,1.6
16,Coritiba,0.6,1.4,1.0,2.4
17,América-MG,1.0,1.6666666666666667,1.25,2.5
18,Fortaleza,1.4,0.6,0.8,0.8
19,Cuiabá,0.75,2.0,1.0,1.1666666666666667
