,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto,status
484,"{'A': 1, 'DS': 36, 'FC': 9, 'FF': 2, 'FS': 3, 'G': 1, 'I': 3}",105547,15,1371,5,7,6.8,4.71,0.82,6.26,9,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",rikelme,Rikelme,Rikelme,Rikelme Hernandes Amorim Rocha,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_FfgJEdr.png,Provável
485,"{'CA': 2, 'DE': 58, 'FS': 1, 'GS': 14, 'SG': 6}",37656,15,266,1,7,8.0,13.2,0.44,4.84,15,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",fabio,Fábio,Fábio,Fábio Deivson Lopes Maciel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,Provável
486,"{'CA': 1, 'DS': 3, 'FC': 6, 'FS': 3}",122668,15,290,2,6,0.0,2.2,0.0,0.46,5,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",bruno-santos,Bruno Santos,B. Santos,Bruno Araújo dos Santos,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_TrU9q7C.png,Nulo
487,"{'CA': 5, 'DS': 7, 'FC': 7, 'FS': 4, 'G': 1}",38545,15,266,4,7,1.6,2.98,0.22,1.13,10,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",felipe-melo,Felipe Melo,F. Melo,Felipe Melo de Carvalho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,Provável
488,{},114893,15,1371,1,6,0.0,1.0,0.0,0.0,0,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",peruchi,Peruchi,Peruchi,Vinicius Pasquini Peruchi,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_SsVd5Bj.png,Nulo
489,{},88065,15,266,2,5,0.0,4.0,0.0,0.0,0,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jorge,Jorge,Jorge,Jorge Marco de Oliveira Moraes,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_Rnoad6D.png,Contundido
490,"{'CA': 1, 'DS': 3, 'FC': 1, 'FS': 1, 'PC': 1, 'SG': 2}",69014,15,266,3,3,0.0,5.19,0.0,1.97,6,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",manoel,Manoel,Manoel,Manoel Messias Silva Carvalho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,Suspenso
491,"{'FC': 1, 'FF': 2, 'G': 2}",42116,15,293,5,6,0.0,4.85,0.0,2.47,7,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",willian,Willian,Willian,Willian Gomes de Siqueira,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,Nulo
492,{'G': 1},62969,15,266,5,6,0.0,5.29,0.0,8.0,1,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",alan,Alan,Alan,Alan Douglas Borges de Carvalho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,Nulo
493,"{'A': 2, 'CA': 4, 'DS': 11, 'FC': 10, 'FD': 2, 'FF': 6, 'FS': 10, 'G': 1, 'I': 2, 'SG': 4}",73384,15,266,2,7,6.1,10.8,-0.69,5.12,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",samuel-xavier,Samuel Xavier,S. Xavier,Samuel Xavier Brito,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png,Provável
494,"{'A': 1, 'CA': 1, 'DS': 17, 'FC': 9, 'FF': 1, 'FS': 14, 'FT': 1, 'GC': 1, 'SG': 3}",101319,15,266,2,6,0.0,7.97,0.0,3.71,12,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",guga,Guga,Guga,Cláudio Rodrigues Gomes,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_XX1WP8Y.png,Nulo
495,"{'A': 1, 'CA': 3, 'DS': 9, 'FC': 8, 'FD': 4, 'FF': 1, 'FS': 8, 'I': 2}",86485,15,266,5,7,0.0,3.57,0.0,2.48,8,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",keno,Keno,Keno,Marcos da Silva França,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_RDEOJLs.png,Provável
496,{},101717,15,266,5,6,0.0,5.0,0.0,0.0,0,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",marrony,Marrony,Marrony,Marrony da Silva Liberato,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_gF92guz.png,Nulo
497,"{'A': 1, 'CA': 2, 'DS': 18, 'FC': 19, 'FD': 6, 'FF': 6, 'FS': 42, 'FT': 1, 'G': 3, 'I': 3}",96340,15,266,4,7,-0.2,11.07,-0.54,5.25,15,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",lima,Lima,Lima,Vinicius Moreira de Lima,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_bCG6s7k.png,Provável
498,"{'A': 1, 'DS': 6, 'FC': 10, 'FF': 2, 'FS': 2, 'I': 1, 'SG': 3}",118774,15,266,2,5,0.0,10.06,0.0,5.34,5,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",alexsander,Alexsander,Alexsander,Alexsander Christian Gomes da Costa,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_HMSPuY2.png,Contundido
499,"{'CA': 1, 'DS': 3, 'FC': 6, 'FF': 2, 'FS': 2, 'SG': 4}",50317,15,266,3,6,0.0,5.99,0.0,2.92,8,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",david-braz,David Braz,D. Braz,David Braz de Oliveira Filho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,Nulo
500,"{'A': 1, 'CA': 2, 'DS': 7, 'FC': 9, 'FD': 1, 'FF': 5, 'FS': 19, 'FT': 1, 'G': 1, 'PC': 1}",107173,15,276,4,6,2.2,6.3,-0.6,3.03,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",michel-araujo,Michel Araújo,M. Araújo,Michel Daryl Araújo Villar,https://s.sde.globo.com/media/person_role/2023/03/30/photo_FORMATO_Z1W5SRZ.png,Nulo
