,clube,xG_casa,xGA_casa,xG_fora,xGA_fora
0,Flamengo,2.2247765432509627,1.1325311325209608,1.3462994359443723,1.1986457592468378
1,Botafogo,1.6229131563907264,0.9322597919487355,1.1316155014601899,2.253049109300026
2,Corinthians,1.4669177485148124,0.9674138247852543,0.7058163796564386,1.5164867787106877
3,Bahia,1.2440363587405652,0.7014393038679271,1.2771656941918812,1.1407817282863046
4,Fluminense,1.4207489827180664,0.874491514432812,1.5447803597234568,2.077331373275181
5,Vasco,0.9483241560397313,1.148503120596027,0.8516066381923122,1.7410976178931339
6,Palmeiras,2.387099549082697,0.9055376024339337,1.0871236048820085,1.0012406778647251
7,São Paulo,0.9939325441207292,1.3963906114860478,1.3662990192792366,1.4479998900949707
8,Santos,1.2847789711031454,1.2225125622306698,1.0255504889382512,1.441341307215001
9,Bragantino,1.4271967873172964,1.3091213784874953,1.5513498679456372,1.2723077823367026
10,Atlético-MG,2.1189275324286063,0.7274829244436483,0.9245228198638923,1.1665034167292396
11,Cruzeiro,1.8724683845483205,0.9457052609830066,1.035528035024734,1.2369544718278356
12,Grêmio,1.5112677833458812,1.9132770977515081,0.7727457879102984,1.9032278096756794
13,Internacional,1.4662807609836304,1.5862232016422144,1.1130736576421145,1.4793068413327797
14,Goiás,1.1732892838251714,1.0168856737257368,1.2478571736140613,1.8828296178587685
15,Athletico-PR,0.9798460375571308,1.0978517720838723,1.0892531812389732,1.3265415001319265
16,Coritiba,1.4672647367827787,1.7106835597475207,0.6485738848598129,0.9488107127096849
17,América-MG,1.4265332490899072,1.169005639879462,1.3953279731810142,1.6059323654027458
18,Fortaleza,1.9671442403339483,1.174370298860148,1.9166040161132027,1.7091655076449341
19,Cuiabá,1.0405495619087306,0.9673622854811246,1.223421061468339,2.1706123973674716
