,clube,P
0,Botafogo,67.78225813888554
1,Palmeiras,62.165820048582184
2,Flamengo,61.71300893984383
3,Grêmio,60.067467390471954
4,Athletico-PR,58.4578763597799
5,São Paulo,56.56870831084578
6,Fluminense,55.20681050366842
7,Internacional,54.39584521793538
8,Atlético-MG,54.21564429086822
9,Bragantino,53.3269199493208
10,Cruzeiro,51.54206851471305
11,Fortaleza,51.062029046261266
12,Corinthians,50.66354231074415
13,Santos,47.12306581292645
14,Cuiabá,44.41803871658239
15,Goiás,41.926885551469624
16,Bahia,40.24907139685231
17,Coritiba,39.499973606883536
18,Vasco,36.15522442996023
19,América-MG,30.05365836744397
