,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
0,Flamengo,2.5,1.5,1.0,1.5
1,Botafogo,2.0,0.5,2.5,1.5
2,Corinthians,1.0,1.0,0.5,2.5
3,Bahia,1.5,1.5,1.0,1.0
4,Fluminense,1.5,0.5,2.5,2.0
5,Vasco,1.0,1.5,1.5,1.0
6,Palmeiras,2.0,0.5,3.0,1.0
7,São Paulo,2.5,0.0,1.0,1.5
8,Santos,1.5,1.0,0.5,1.5
9,Bragantino,1.0,2.0,2.0,2.0
10,Atlético-MG,1.5,1.5,0.0,1.0
11,Cruzeiro,1.5,0.5,2.0,0.5
12,Grêmio,2.0,1.5,1.0,1.0
13,Internacional,1.5,0.5,0.5,1.5
14,Goiás,1.5,2.5,0.0,1.5
15,Athletico-PR,1.5,0.5,0.5,2.0
16,Coritiba,0.5,2.0,0.5,2.5
17,América-MG,0.5,2.0,1.0,3.0
18,Fortaleza,2.5,1.5,2.0,0.5
19,Cuiabá,1.0,1.5,1.0,1.5
