,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,América-MG,Vasco,25.97402597402597,51.02040816326531,25.97402597402597,3.85,1.96,3.85
1,Internacional,Palmeiras,27.027027027027025,38.02281368821293,38.02281368821293,3.7,2.63,2.63
2,Fluminense,Flamengo,32.05128205128205,39.0625,32.05128205128205,3.12,2.56,3.12
3,Athletico-PR,Bahia,48.07692307692307,35.97122302158274,19.011406844106464,2.08,2.78,5.26
4,Cruzeiro,Coritiba,50.0,35.97122302158274,17.006802721088434,2.0,2.78,5.88
5,São Paulo,Santos,50.0,35.97122302158274,17.006802721088434,2.0,2.78,5.88
6,Botafogo,Bragantino,42.016806722689076,38.02281368821293,22.98850574712644,2.38,2.63,4.35
7,Fortaleza,Cuiabá,49.01960784313725,37.03703703703704,17.006802721088434,2.04,2.7,5.88
8,Corinthians,Grêmio,25.97402597402597,51.02040816326531,25.97402597402597,3.85,1.96,3.85
9,Goiás,Atlético-MG,17.98561151079137,35.97122302158274,49.01960784313725,5.56,2.78,2.04
