,atleta_id,apelido,ranking
0,94583,Pedro,1
1,51772,Everton Ribeiro,2
2,39148,Hulk,3
3,71684,Gustavo Gómez,4
4,70800,Jorge Sampaoli,5
5,90768,Fabrício Bruno,6
6,72294,Everson,7
7,79631,Cano,8
8,88393,Ayrton Lucas,9
9,99815,Arias,10
10,115239,Wesley,11
11,103767,Gabriel Menino,12
12,98225,Pedro Raul,13
13,84042,Tiquinho Soares,14
14,94509,Raphael Veiga,15
15,86757,Everton,16
16,69029,Antônio Carlos Zago,17
17,91607,Rony,18
18,68685,Alan Patrick,19
19,83528,Léo Pereira,20
