,clube,xP,ranking_xp
0,Palmeiras,22.120000000000005,1
1,Fortaleza,21.09,2
2,Atlético-MG,20.829999999999995,3
3,Cruzeiro,20.140000000000004,4
4,Botafogo,19.58,5
5,São Paulo,19.39,6
6,Athletico-PR,19.380000000000003,7
7,Bragantino,19.12,8
8,Bahia,18.849999999999998,9
9,Cuiabá,17.669999999999998,10
10,Grêmio,17.580000000000002,11
11,Flamengo,16.17,12
12,América-MG,16.150000000000002,13
13,Coritiba,16.04,14
14,Fluminense,15.709999999999999,15
15,Vasco,15.66,16
16,Internacional,15.16,17
17,Santos,15.14,18
18,Corinthians,14.52,19
19,Goiás,14.49,20
