,clube,xP,ranking_xp
0,Palmeiras,13.39,1
1,Fortaleza,13.249999999999998,2
2,Atlético-MG,12.41,3
3,Cruzeiro,12.020000000000001,4
4,Bahia,11.07,5
5,Botafogo,10.71,6
6,Flamengo,10.270000000000001,7
7,Athletico-PR,10.13,8
8,Bragantino,9.8,9
9,São Paulo,9.340000000000002,10
10,Cuiabá,8.709999999999999,11
11,Corinthians,8.58,12
12,Santos,8.43,13
13,Fluminense,8.34,14
14,Internacional,8.23,15
15,Goiás,8.209999999999999,16
16,América-MG,7.910000000000001,17
17,Vasco,7.71,18
18,Coritiba,7.52,19
19,Grêmio,6.41,20
