,clube,xGA_geral
0,Atlético-MG,0.9047903175263888
1,Palmeiras,0.9286881606265687
2,Cruzeiro,1.1138523656394044
3,Athletico-PR,1.1553929804221656
4,Bahia,1.1695399077240363
5,Cuiabá,1.1783269772107543
6,Botafogo,1.2059241381551644
7,São Paulo,1.2130576138515843
8,Santos,1.2427570242101111
9,Vasco,1.268825194686952
10,Corinthians,1.2778316476988723
11,Bragantino,1.2936083775515494
12,Fortaleza,1.301019254355105
13,Internacional,1.373721506357428
14,Coritiba,1.431999193382458
15,Goiás,1.4573550583545813
16,Fluminense,1.510194001289499
17,América-MG,1.5730752512263635
18,Flamengo,1.5932201903847254
19,Grêmio,1.6396983261712301
