,clube,Goal_diff_geral,xG_diff_geral
5,Athletico-PR,-0.047619047619047894,0.18440829541574533
7,Bahia,-0.4880952380952379,0.12297282032529999
9,Cuiabá,-0.3928571428571428,0.01940828068883449
