,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,36,24,7,17,15,1
1,Flamengo,26,27,18,9,10,2
2,Grêmio,26,24,20,4,9,3
3,Palmeiras,24,25,13,12,5,4
4,Bragantino,24,22,14,8,11,5
5,Fluminense,24,21,14,7,8,6
6,Fortaleza,23,16,11,5,9,7
7,São Paulo,22,18,13,5,7,8
8,Cruzeiro,21,16,11,5,8,9
9,Internacional,21,13,16,-3,10,10
10,Atlético-MG,20,18,14,4,3,11
11,Athletico-PR,20,18,18,0,5,12
12,Santos,16,15,19,-4,4,13
13,Cuiabá,16,13,17,-4,5,14
14,Corinthians,15,12,17,-5,7,15
15,Bahia,13,15,21,-6,5,16
16,Goiás,11,14,26,-12,4,17
17,Coritiba,10,14,28,-14,7,18
18,Vasco,9,11,23,-12,3,19
19,América-MG,9,16,32,-16,2,20
