,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral,xG_G_comp
0,Fortaleza,2.190115492439152,1.1480609752822466,1.842071588875547,1.1940397946534371,2.0160935406573497,1.1710503849678418,1.0420545171569056,0.6480317942221099,0.8450431556895079,1.6666666666666667,1.0,1.0,0.5,1.3333333333333335,0.75,0.6666666666666667,0.5,0.5833333333333335,0.6827602073240162
1,Internacional,1.372689957845038,1.4787445068633855,0.9720164040698294,1.4880511120183413,1.1723531809574337,1.4833978094408633,-0.10605454901834754,-0.5160347079485119,-0.3110446284834296,1.0,1.0,0.5,2.0,0.75,1.5,0.0,-1.5,-0.75,0.4223531809574337
2,Cuiabá,1.2739369266415084,1.0443742390796726,1.1431464686545045,1.6546802136931515,1.2085416976480063,1.349527226386412,0.22956268756183573,-0.511533745038647,-0.14098552873840564,0.6666666666666666,2.3333333333333335,1.0,1.5,0.8333333333333333,1.9166666666666667,-1.666666666666667,-0.5,-1.0833333333333335,0.3752083643146731
3,América-MG,1.130524728961527,1.6445466704306178,1.4187181591330378,1.7640921795844908,1.2746214440472823,1.7043194250075544,-0.5140219414690907,-0.34537402045145305,-0.4296979809602721,0.5,2.0,1.3333333333333333,2.6666666666666665,0.9166666666666666,2.333333333333333,-1.5,-1.3333333333333333,-1.4166666666666665,0.35795477738061565
4,Corinthians,1.0101789623811088,0.9767158288325511,0.8644315816620933,1.2132452511330758,0.9373052720216011,1.0949805399828134,0.03346313354855768,-0.34881366947098247,-0.15767526796121234,1.0,1.0,0.25,2.0,0.625,1.5,0.0,-1.75,-0.875,0.3123052720216011
5,Bahia,1.6655264197323723,1.067673206009207,1.2076039975550323,1.2625976411711757,1.4365652086437022,1.1651354235901912,0.5978532137231654,-0.05499364361614334,0.271429785053511,1.5,1.75,1.0,1.6666666666666667,1.25,1.7083333333333335,-0.25,-0.6666666666666667,-0.4583333333333335,0.18656520864370219
6,Goiás,1.0350927277541955,1.3144171119592525,1.2501828745951202,1.5815882105322674,1.1426378011746579,1.44800266124576,-0.279324384205057,-0.33140533593714716,-0.3053648600711021,1.6666666666666667,2.0,0.25,1.5,0.9583333333333334,1.75,-0.33333333333333326,-1.25,-0.7916666666666666,0.18430446784132448
7,Coritiba,1.2602421732927405,1.550001974045562,0.771616618418502,1.484354640490767,1.0159293958556213,1.5171783072681646,-0.2897598007528215,-0.712738022072265,-0.5012489114125434,0.75,1.75,1.0,2.6666666666666665,0.875,2.208333333333333,-1.0,-1.6666666666666665,-1.333333333333333,0.14092939585562125
8,Vasco,1.1674974055109093,0.9576577377457123,0.8655584261053857,1.8022470477769417,1.0165279158081475,1.3799523927613269,0.20983966776519702,-0.936688621671556,-0.36342447695317937,0.6666666666666666,1.6666666666666667,1.25,1.25,0.9583333333333333,1.4583333333333335,-1.0,0.0,-0.5000000000000002,0.05819458247481424
9,Santos,1.066923236392186,1.0906521917768066,1.1669493127474198,1.5561113222503715,1.1169362745698028,1.323381757013589,-0.02372895538462072,-0.38916200950295177,-0.20644548244378624,1.5,0.5,0.6666666666666666,1.0,1.0833333333333333,0.75,1.0,-0.33333333333333337,0.33333333333333326,0.03360294123646956
