,clube,xP,ranking_xp
0,Palmeiras,17.86,1
1,Botafogo,17.4,2
2,Cruzeiro,17.22,3
3,Atlético-MG,16.450000000000003,4
4,Fortaleza,15.950000000000001,5
5,Bahia,15.769999999999998,6
6,São Paulo,14.72,7
7,América-MG,13.520000000000001,8
8,Bragantino,13.27,9
9,Flamengo,13.24,10
10,Athletico-PR,13.15,11
11,Corinthians,12.91,12
12,Fluminense,12.599999999999998,13
13,Internacional,12.44,14
14,Cuiabá,12.219999999999999,15
15,Vasco,11.93,16
16,Grêmio,11.79,17
17,Goiás,11.670000000000002,18
18,Coritiba,10.760000000000002,19
19,Santos,10.150000000000002,20
