,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1662,Anderson Oliveira,102096,Goiás,ATA,1.75,1.6,Fortaleza,mandante,5.5,3.625
1663,Edu,105842,Goiás,ZAG,1.7,2.1,Fortaleza,mandante,5.5,3.6
1664,Gabriel,98976,São Paulo,MEI,2.7571428571428567,1.1,Atlético-MG,mandante,4.388888888888889,3.5730158730158728
1665,Matheus Bianqui,104640,Coritiba,MEI,3.266666666666667,1.7999999999999996,Bragantino,mandante,3.875,3.5708333333333337
1666,Gustavo Campanharo,72497,Internacional,MEI,3.0500000000000003,2.442857142857143,Corinthians,mandante,4.077777777777778,3.563888888888889
1667,Palacios,92855,Cruzeiro,LAT,5.6,-0.4,Botafogo,mandante,1.5,3.55
1668,Alan Franco,99889,São Paulo,ZAG,2.6999999999999997,2.6666666666666665,Atlético-MG,mandante,4.388888888888889,3.5444444444444443
1669,Wesley,105811,Cruzeiro,ATA,5.5874999999999995,6.142857142857143,Botafogo,mandante,1.5,3.5437499999999997
1670,Rikelme,105547,Cuiabá,ATA,5.74,5.8500000000000005,Flamengo,mandante,1.3333333333333333,3.5366666666666666
1671,Clayson,83817,Cuiabá,ATA,5.699999999999999,0.6,Flamengo,mandante,1.3333333333333333,3.516666666666666
1672,Rodrigo Moledo,63354,Internacional,ZAG,2.8666666666666667,0.05000000000000001,Corinthians,mandante,4.077777777777778,3.4722222222222223
1673,Keno,86485,Fluminense,ATA,3.34,1.7600000000000002,Palmeiras,mandante,3.5555555555555554,3.4477777777777776
1674,Enner Valencia,70788,Internacional,ATA,2.8,4.3,Corinthians,mandante,4.077777777777778,3.438888888888889
1675,Pedro Henrique,72583,Internacional,ATA,2.8000000000000003,3.716666666666667,Corinthians,mandante,4.077777777777778,3.438888888888889
1676,Lucas Piton,105584,Vasco,LAT,2.685714285714286,1.8,Grêmio,mandante,4.142857142857143,3.4142857142857146
1677,David Braz,50317,Fluminense,ZAG,3.25,2.966666666666667,Palmeiras,mandante,3.5555555555555554,3.4027777777777777
1678,Luiz Adriano,72772,Internacional,ATA,2.725,2.157142857142857,Corinthians,mandante,4.077777777777778,3.4013888888888895
1679,Falcão,73580,Santos,TEC,3.71,0.0,Athletico-PR,mandante,3.025,3.3674999999999997
1680,Joaquim,109563,Santos,ZAG,3.6999999999999993,2.9571428571428564,Athletico-PR,mandante,3.025,3.3625
1681,Jhoanner Chávez,110021,Bahia,LAT,3.8,2.5833333333333335,América-MG,mandante,2.875,3.3375
1682,Messias,87402,Santos,ZAG,3.6333333333333337,2.357142857142857,Athletico-PR,mandante,3.025,3.3291666666666666
1683,André,107498,Fluminense,MEI,3.1000000000000005,2.9714285714285715,Palmeiras,mandante,3.5555555555555554,3.327777777777778
1684,Paulo Henrique,93716,Vasco,LAT,2.5,1.05,Grêmio,mandante,4.142857142857143,3.3214285714285716
1685,António Oliveira,111578,Cuiabá,TEC,5.308,5.9383333333333335,Flamengo,mandante,1.3333333333333333,3.3206666666666664
1686,Bruno Santos,122668,Goiás,LAT,1.1333333333333333,0.2333333333333334,Fortaleza,mandante,5.5,3.3166666666666664
1687,Lelê,115915,Fluminense,ATA,3.0625,4.2375,Palmeiras,mandante,3.5555555555555554,3.3090277777777777
1688,Kayky,111829,Bahia,ATA,3.733333333333333,3.225,América-MG,mandante,2.875,3.3041666666666663
1689,Philippe Costa,101684,Goiás,ATA,1.1,-0.05,Fortaleza,mandante,5.5,3.3
1690,Cauly,123360,Bahia,MEI,3.7124999999999995,2.225,América-MG,mandante,2.875,3.2937499999999997
1691,Miranda,101720,Vasco,ZAG,2.4333333333333336,1.15,Grêmio,mandante,4.142857142857143,3.2880952380952384
1692,Ramón Díaz,92075,Vasco,TEC,2.39,3.9,Grêmio,mandante,4.142857142857143,3.2664285714285715
1693,Thauan Lara,115061,Internacional,LAT,2.4333333333333336,2.9400000000000004,Corinthians,mandante,4.077777777777778,3.255555555555556
1694,Robson Bambu,101579,Vasco,ZAG,2.35,1.2333333333333334,Grêmio,mandante,4.142857142857143,3.246428571428572
1695,Zé Roberto,80076,Coritiba,ATA,2.6,2.55,Bragantino,mandante,3.875,3.2375
1696,Léo,85626,Vasco,ZAG,2.3285714285714287,0.175,Grêmio,mandante,4.142857142857143,3.2357142857142858
1697,Matheusinho,101725,Goiás,MEI,0.9666666666666667,0.10000000000000002,Fortaleza,mandante,5.5,3.2333333333333334
1698,Jean Dias,73479,Internacional,ATA,2.375,2.15,Corinthians,mandante,4.077777777777778,3.226388888888889
1699,Boschilia,86841,Coritiba,MEI,2.5599999999999996,3.683333333333333,Bragantino,mandante,3.875,3.2175
1700,Raniele,95556,Cuiabá,MEI,5.0875,5.7375,Flamengo,mandante,1.3333333333333333,3.2104166666666667
