,clube,ranking_clube,fase
0,Atlético-MG,4,80.0
1,Botafogo,1,80.0
2,Palmeiras,2,73.33
3,Santos,9,66.67
4,Athletico-PR,7,60.0
5,Flamengo,6,60.0
6,São Paulo,8,60.0
7,Cruzeiro,5,60.0
8,Grêmio,10,53.33
9,Fluminense,3,46.67
10,Bahia,13,46.67
11,Bragantino,12,40.0
12,Fortaleza,11,40.0
13,Cuiabá,14,40.0
14,Goiás,16,26.67
15,América-MG,19,26.67
16,Internacional,15,20.0
17,Vasco,17,13.33
18,Coritiba,20,13.33
19,Corinthians,18,13.33
