,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Fluminense,76.89800000000001,1,66.82500000000002,9,83.61333333333334,2
1,Botafogo,76.49000000000001,2,82.81666666666668,4,67.0,6
2,Palmeiras,76.136,3,70.99666666666666,7,83.845,1
3,Fortaleza,73.71000000000001,4,69.35333333333334,8,80.245,4
4,São Paulo,70.35,5,88.6,1,58.18333333333333,7
5,Cruzeiro,69.696,6,60.48333333333333,10,83.51500000000001,3
6,Flamengo,68.46799999999999,7,84.83999999999999,3,43.91,15
7,Santos,67.47,8,85.13999999999999,2,40.965,17
8,Atlético-MG,64.196,9,52.75,15,71.82666666666667,5
9,Athletico-PR,58.37399999999999,10,72.505,6,48.953333333333326,12
10,Grêmio,55.208000000000006,11,75.06500000000001,5,41.97,16
11,Bahia,54.312,12,53.355000000000004,12,54.95000000000001,8
12,Internacional,54.11400000000001,13,55.79,11,51.599999999999994,9
13,Vasco,47.91799999999999,14,44.455,17,50.22666666666667,10
14,Bragantino,45.69199999999999,15,43.71666666666666,18,48.655,13
15,América-MG,42.71999999999999,16,32.455,20,49.56333333333333,11
16,Coritiba,42.264,17,45.99000000000001,16,36.675,18
17,Goiás,41.611999999999995,18,53.14,13,33.92666666666666,19
18,Cuiabá,40.721999999999994,19,35.5,19,48.555,14
19,Corinthians,39.608,20,53.03,14,30.66,20
