,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Bragantino,Athletico-PR,40.0,39.0625,23.980815347721823,2.5,2.56,4.17
1,São Paulo,Vasco,38.02281368821293,40.0,25.0,2.63,2.5,4.0
2,Botafogo,Fluminense,28.011204481792717,40.98360655737705,34.01360544217687,3.57,2.44,2.94
3,Coritiba,Atlético-MG,21.008403361344538,38.02281368821293,44.052863436123346,4.76,2.63,2.27
4,América-MG,Fortaleza,30.959752321981426,40.98360655737705,30.959752321981426,3.23,2.44,3.23
5,Bahia,Goiás,45.04504504504504,39.0625,19.011406844106464,2.22,2.56,5.26
6,Santos,Palmeiras,21.008403361344538,39.0625,42.91845493562232,4.76,2.56,2.33
7,Grêmio,Internacional,37.03703703703704,39.0625,27.027027027027025,2.7,2.56,3.7
8,Flamengo,Corinthians,52.083333333333336,35.97122302158274,14.992503748125937,1.92,2.78,6.67
9,Cruzeiro,Cuiabá,52.91005291005292,34.01360544217687,16.0,1.89,2.94,6.25
