,clube,ranking_clube,fase
0,Botafogo,1,80.0
1,São Paulo,3,73.33
2,Flamengo,7,66.67
3,Atlético-MG,4,66.67
4,Athletico-PR,11,60.0
5,Palmeiras,2,60.0
6,Bragantino,10,60.0
7,Grêmio,5,53.33
8,Cuiabá,15,46.67
9,Santos,12,46.67
10,Fluminense,8,46.67
11,Cruzeiro,6,46.67
12,Fortaleza,9,40.0
13,Corinthians,14,33.33
14,Goiás,17,26.67
15,América-MG,19,26.67
16,Bahia,16,26.67
17,Internacional,13,20.0
18,Vasco,18,13.33
19,Coritiba,20,13.33
