,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Internacional,18.0,Corinthians,1.3204323514902234,0.9543106360751797,44.64,27.0,28.36,28.39,16.38,10.66,39.05,27.04,66.09
1,Santos,18.0,Athletico-PR,1.2134130097962854,1.0003533761375292,41.01,29.91,29.08,26.0,18.49,11.07,37.07,29.56,66.63
2,Cuiabá,18.0,Flamengo,1.3089507472937612,1.009906921590346,42.88,29.45,27.67,26.3,17.45,9.69,35.99,27.14,63.13
3,Fluminense,18.0,Palmeiras,1.2331871747258365,1.140291471615941,38.69,33.95,27.36,22.71,19.65,9.11,31.82,28.759999999999998,60.58
4,Cruzeiro,18.0,Botafogo,1.4792859321195884,1.2195036004926925,43.22,31.31,25.47,23.21,15.94,6.75,29.96,22.689999999999998,52.65
5,Vasco,18.0,Grêmio,1.489131874720023,1.2554081588931891,42.06,32.78,25.16,22.05,16.61,6.5,28.55,23.11,51.66
6,Goiás,18.0,Fortaleza,1.2754900340909145,1.3213117553950047,35.88,37.8,26.32,19.32,20.36,7.35,26.67,27.71,54.38
7,São Paulo,18.0,Atlético-MG,1.2950157449390596,1.2790254297073487,36.52,37.2,26.28,19.92,20.23,7.37,27.290000000000003,27.6,54.89
8,Coritiba,18.0,Bragantino,1.3207553813519952,1.2985457536165068,37.44,36.49,26.07,20.32,19.27,6.99,27.310000000000002,26.259999999999998,53.57
9,Bahia,18.0,América-MG,1.4679267441154562,1.4515520712087187,38.35,36.98,24.66,17.54,17.29,5.47,23.009999999999998,22.759999999999998,45.769999999999996
