,clube,xP,ranking_xp
0,Palmeiras,14.799999999999999,1
1,Fortaleza,13.89,2
2,Atlético-MG,13.84,3
3,Botafogo,13.36,4
4,Bahia,13.11,5
5,Cruzeiro,12.92,6
6,Flamengo,11.59,7
7,Athletico-PR,11.29,8
8,São Paulo,11.27,9
9,Bragantino,11.19,10
10,Fluminense,10.850000000000001,11
11,Cuiabá,10.41,12
12,Corinthians,10.03,13
13,Internacional,9.65,14
14,Santos,9.46,15
15,América-MG,8.73,16
16,Vasco,8.64,17
17,Goiás,8.48,18
18,Grêmio,7.91,19
19,Coritiba,7.78,20
