,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1165,João Pedro,89273,Grêmio,LAT,15.4,4.6,Internacional,mandante,7.0,11.2
1166,Mendoza,90031,Santos,ATA,17.45,3.8,Palmeiras,mandante,1.0,9.225
1167,Jhoanner Chávez,110021,Bahia,LAT,9.4,3.4,Goiás,mandante,8.333333333333334,8.866666666666667
1168,Pepê,101573,Grêmio,MEI,10.5,0.0,Internacional,mandante,7.0,8.75
1169,Thaciano,87470,Bahia,MEI,9.0,7.3999999999999995,Goiás,mandante,8.333333333333334,8.666666666666668
1170,Marcos Felipe,85004,Bahia,GOL,0.0,5.5,Goiás,mandante,8.333333333333334,8.333333333333334
1171,Biel,110760,Bahia,ATA,8.233333333333333,3.75,Goiás,mandante,8.333333333333334,8.283333333333333
1172,Adriel,107748,Grêmio,GOL,9.0,0.0,Internacional,mandante,7.0,8.0
1173,Léo Pereira,83528,Flamengo,ZAG,12.466666666666667,1.0333333333333334,Corinthians,mandante,3.5,7.983333333333333
1174,Ryan,122300,Bahia,LAT,7.4,0.0,Goiás,mandante,8.333333333333334,7.866666666666667
1175,Cristaldo,89846,Grêmio,MEI,8.433333333333334,4.166666666666667,Internacional,mandante,7.0,7.716666666666667
1176,Deivid Washington,124251,Santos,ATA,14.1,4.9,Palmeiras,mandante,1.0,7.55
1177,Matheus Cunha,111690,Flamengo,GOL,11.0,0.5,Corinthians,mandante,3.5,7.25
1178,Natanael,107554,Coritiba,LAT,9.333333333333334,2.75,Atlético-MG,mandante,5.0,7.166666666666667
1179,Kannemann,87342,Grêmio,ZAG,6.95,2.033333333333333,Internacional,mandante,7.0,6.975
1180,Renato Gaúcho,41929,Grêmio,TEC,6.783333333333334,3.8033333333333332,Internacional,mandante,7.0,6.8916666666666675
1181,Gabriel Grando,112616,Grêmio,GOL,6.75,2.8333333333333335,Internacional,mandante,7.0,6.875
1182,Cauly,123360,Bahia,MEI,5.333333333333333,2.6999999999999997,Goiás,mandante,8.333333333333334,6.833333333333334
1183,Luis Suárez,69318,Grêmio,ATA,6.466666666666666,3.8499999999999996,Internacional,mandante,7.0,6.7333333333333325
1184,Alef Manga,101254,Coritiba,ATA,8.45,3.65,Atlético-MG,mandante,5.0,6.725
1185,Victor Sá,108946,Botafogo,ATA,10.6,3.3666666666666667,Fluminense,mandante,2.6666666666666665,6.633333333333333
1186,Renato Paiva,110818,Bahia,TEC,4.81,4.883333333333333,Goiás,mandante,8.333333333333334,6.571666666666667
1187,Bitello,112140,Grêmio,MEI,5.833333333333333,6.033333333333334,Internacional,mandante,7.0,6.416666666666666
1188,Thomas Luciano,111819,Grêmio,LAT,5.8,1.8,Internacional,mandante,7.0,6.4
1189,Diogo Barbosa,70916,Grêmio,LAT,5.65,0.29999999999999993,Internacional,mandante,7.0,6.325
1190,Vitor Jacaré,101201,Bahia,ATA,4.166666666666666,8.65,Goiás,mandante,8.333333333333334,6.25
1191,Joaquim,109563,Santos,ZAG,11.5,5.199999999999999,Palmeiras,mandante,1.0,6.25
1192,Aloísio,73850,América-MG,ATA,8.3,8.2,Fortaleza,mandante,4.0,6.15
1193,Ademir,101314,Bahia,ATA,3.9333333333333336,2.0,Goiás,mandante,8.333333333333334,6.133333333333334
1194,Wesley,105811,Cruzeiro,ATA,9.35,3.5,Cuiabá,mandante,2.9,6.125
1195,Tiquinho Soares,84042,Botafogo,ATA,9.533333333333333,13.166666666666666,Fluminense,mandante,2.6666666666666665,6.1
1196,Ayrton Lucas,88393,Flamengo,LAT,8.666666666666666,2.6666666666666665,Corinthians,mandante,3.5,6.083333333333333
1197,Gabriel Xavier,105373,Bahia,ZAG,3.8,0.9,Goiás,mandante,8.333333333333334,6.066666666666666
1198,Zé Roberto,80076,Coritiba,ATA,6.8,2.6999999999999997,Atlético-MG,mandante,5.0,5.9
1199,Rezende,90449,Bahia,MEI,3.0666666666666664,3.1,Goiás,mandante,8.333333333333334,5.7
1200,Matheus Nascimento,109114,Botafogo,ATA,8.7,0.0,Fluminense,mandante,2.6666666666666665,5.683333333333333
1201,David Duarte,91772,Bahia,ZAG,2.8333333333333335,3.0,Goiás,mandante,8.333333333333334,5.583333333333334
1202,Bruno Alves,73620,Grêmio,ZAG,3.9333333333333336,1.0333333333333334,Internacional,mandante,7.0,5.466666666666667
1203,Eduardo,68708,Botafogo,MEI,8.166666666666666,3.966666666666667,Fluminense,mandante,2.6666666666666665,5.416666666666666
1204,Villasanti,97145,Grêmio,MEI,3.7,-0.2,Internacional,mandante,7.0,5.35
1205,Jorge Sampaoli,70800,Flamengo,TEC,7.16,4.62,Corinthians,mandante,3.5,5.33
1206,Everton Galdino,89918,Grêmio,ATA,3.6333333333333333,4.033333333333333,Internacional,mandante,7.0,5.316666666666666
1207,Luís Castro,88037,Botafogo,TEC,7.816666666666667,5.676666666666667,Fluminense,mandante,2.6666666666666665,5.241666666666667
1208,Zinho,123153,Grêmio,ATA,3.466666666666667,0.7666666666666666,Internacional,mandante,7.0,5.233333333333333
1209,Reinaldo,78850,Grêmio,LAT,3.4,-0.3,Internacional,mandante,7.0,5.2
1210,Benítez,93550,América-MG,MEI,6.4,2.55,Fortaleza,mandante,4.0,5.2
1211,Gustavo Martins,111309,Grêmio,ZAG,3.35,1.2,Internacional,mandante,7.0,5.175
1212,Acevedo,104783,Bahia,MEI,1.9333333333333333,2.5666666666666664,Goiás,mandante,8.333333333333334,5.133333333333334
1213,Marlon,91706,Cruzeiro,LAT,7.366666666666667,14.1,Cuiabá,mandante,2.9,5.133333333333334
1214,Hugo,109668,Botafogo,LAT,7.6,0.0,Fluminense,mandante,2.6666666666666665,5.133333333333333
1215,Di Placido,98605,Botafogo,LAT,7.433333333333334,2.4333333333333336,Fluminense,mandante,2.6666666666666665,5.05
