,clube,xG_mean,xG_total
0,Palmeiras,2.098757383283179,12.592544299699075
1,Fortaleza,2.0016094635320694,12.009656781192419
2,Flamengo,1.8266287780265742,10.959772668159442
3,Cruzeiro,1.6475261842281659,9.885157105368993
4,América-MG,1.5757718071514015,9.454630842908408
5,Botafogo,1.446016872307119,8.676101233842717
6,Bragantino,1.4314266622359837,8.588559973415904
7,Fluminense,1.4000180154913764,8.40010809294826
8,Atlético-MG,1.3791671865733865,8.275003119440317
9,Bahia,1.35215857269719,8.112951436183138
10,Grêmio,1.185852807954542,7.115116847727253
11,Internacional,1.1802911795231201,7.081747077138721
12,Athletico-PR,1.1790299131791475,7.074179479074886
13,São Paulo,1.1704400402595734,7.022640241557438
14,Cuiabá,1.1489374682110565,6.8936248092663375
15,Goiás,1.1178825307289084,6.707295184373448
16,Santos,1.0771325749190612,6.462795449514368
17,Coritiba,0.9960285011902735,5.97617100714164
18,Corinthians,0.9928451271826089,5.957070763095653
19,Vasco,0.9679001741693755,5.807401045016252
