,clube,xG_mean,xG_total
0,Fortaleza,1.9469281506456504,9.734640753228248
1,Flamengo,1.8733857003283265,9.366928501641633
2,Palmeiras,1.8671091714024215,9.33554585701211
3,Cruzeiro,1.537692244738886,7.688461223694427
4,Fluminense,1.4951678089213007,7.475839044606503
5,Bragantino,1.4768580195686325,7.384290097843163
6,Botafogo,1.4263940944185116,7.131970472092561
7,América-MG,1.4078100835445717,7.0390504177228586
8,Atlético-MG,1.4022847048897777,7.011423524448887
9,Internacional,1.324997919647024,6.624989598235125
10,Bahia,1.263913960011355,6.319569800056772
11,Goiás,1.2180300176985053,6.0901500884925275
12,São Paulo,1.2173524292158338,6.086762146079169
13,Santos,1.1810875782371877,5.905437891185939
14,Coritiba,1.1397883960135924,5.698941980067963
15,Cuiabá,1.1136981617325739,5.568490808662869
16,Grêmio,1.0681545860845314,5.340772930422658
17,Athletico-PR,1.0454903237662363,5.227451618831181
18,Corinthians,1.0102569271997879,5.05128463599894
19,Vasco,0.8902936453312797,4.4514682266564
