,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Coritiba,5.0,Vasco,1.8989896263804793,1.1621997333949365,54.48,23.29,22.23,26.57,10.29,4.84,31.41,15.129999999999999,46.54
1,Santos,5.0,Bahia,1.2031889503933866,1.1630655166760717,36.91,35.37,27.73,21.39,20.57,9.35,30.740000000000002,29.92,60.660000000000004
2,Cuiabá,5.0,Atlético-MG,1.517716990252917,1.1961820319498138,44.95,29.73,25.32,23.56,15.46,6.83,30.39,22.29,52.68
3,Botafogo,5.0,Corinthians,1.6485844870534687,1.2350164304818363,47.84,28.23,23.93,23.97,13.18,5.68,29.65,18.86,48.51
4,Internacional,5.0,Athletico-PR,1.4539655565924434,1.2167677428421428,42.46,31.23,26.31,22.4,16.52,6.96,29.36,23.48,52.84
5,Bragantino,5.0,América-MG,1.4756719494607369,1.4862595479240799,37.79,37.38,24.84,17.29,17.83,5.3,22.59,23.13,45.72
6,Palmeiras,5.0,Grêmio,1.884127851694741,1.5165119562985039,46.63,30.95,22.41,18.45,11.94,3.53,21.98,15.469999999999999,37.45
7,Cruzeiro,5.0,Fluminense,1.8249001267033487,1.6169847877499963,43.2,34.53,22.26,16.89,13.04,3.08,19.97,16.119999999999997,36.089999999999996
8,Flamengo,5.0,Goiás,1.7512802232569005,1.6113177168057744,41.62,35.87,22.51,16.14,14.29,3.59,19.73,17.88,37.61
9,Fortaleza,5.0,São Paulo,1.884985724491279,1.8799451616489948,40.34,38.2,21.46,13.41,12.53,2.36,15.77,14.889999999999999,30.659999999999997
