,clube,xG_mean,xG_total
0,Fortaleza,1.7338887278313644,15.604998550482277
1,Cruzeiro,1.7321094172687277,15.588984755418554
2,Palmeiras,1.6840523496803748,15.156471147123368
3,Flamengo,1.5009357515805375,13.508421764224837
4,Botafogo,1.446828670622905,13.021458035606143
5,Bahia,1.4171737913159719,12.754564121843744
6,Bragantino,1.3958025244699264,12.56222272022934
7,Fluminense,1.367804950345405,12.310244553108653
8,Athletico-PR,1.3042610093066171,11.73834908375956
9,Grêmio,1.298641090729238,11.687769816563147
10,América-MG,1.2653223503381938,11.387901153043746
11,Atlético-MG,1.191428306693427,10.722854760240843
12,São Paulo,1.1765315332388415,10.588783799149576
13,Cuiabá,1.12029460142164,10.08265141279476
14,Vasco,1.1063582059216932,9.957223853295242
15,Internacional,1.0788151015332907,9.709335913799611
16,Santos,1.0773381572452072,9.696043415206862
17,Goiás,1.0743066318377257,9.66875968653953
18,Coritiba,0.9672887010719045,8.705598309647137
19,Corinthians,0.9170775194767695,8.25369767529093
