,clube,P
0,Botafogo,64.09942405760741
1,Flamengo,63.903342563477906
2,Palmeiras,62.0044426919695
3,Grêmio,60.7979541172822
4,Atlético-MG,57.18434472191421
5,Athletico-PR,57.121625926483134
6,São Paulo,56.644067119657706
7,Internacional,56.36461097614885
8,Bragantino,55.773864692236245
9,Fluminense,55.365783534975016
10,Cruzeiro,53.083622007105205
11,Fortaleza,51.55117672081597
12,Corinthians,49.948933090442765
13,Santos,48.048120520454404
14,Bahia,41.26159209635358
15,Goiás,40.87835745869845
16,Cuiabá,40.234202079306364
17,Vasco,39.394281442117546
18,Coritiba,36.96351334974249
19,América-MG,30.06615564096961
