,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Botafogo,71.51083333333334,1,85.67166666666668,1,57.35,7
1,Palmeiras,69.04216666666666,2,68.806,7,69.27833333333332,2
2,Flamengo,68.68316666666666,3,83.00833333333334,2,54.358000000000004,9
3,Fortaleza,66.5495,4,69.78399999999999,6,63.315,5
4,Cruzeiro,63.544,5,45.46,17,81.628,1
5,Fluminense,62.347333333333324,6,60.467999999999996,10,64.22666666666666,4
6,Atlético-MG,62.24816666666667,7,59.918000000000006,12,64.57833333333333,3
7,Santos,62.21366666666667,8,66.71333333333334,9,57.714,6
8,Athletico-PR,61.10116666666666,9,73.344,4,48.85833333333333,12
9,São Paulo,59.22200000000001,10,67.76,8,50.684000000000005,11
10,Bragantino,59.11483333333333,11,73.63166666666666,3,44.598,15
11,Grêmio,57.16366666666666,12,70.90333333333332,5,43.424,16
12,Bahia,54.622,13,57.85999999999999,13,51.384,10
13,Internacional,54.49016666666667,14,60.122,11,48.85833333333333,12
14,Cuiabá,48.896166666666666,15,40.67399999999999,19,57.11833333333334,8
15,Corinthians,47.749833333333335,16,56.148,14,39.35166666666667,19
16,Goiás,47.448166666666665,17,52.458000000000006,15,42.43833333333333,17
17,América-MG,42.93533333333333,18,44.89666666666667,18,40.974,18
18,Vasco,42.55616666666666,19,40.254,20,44.85833333333333,14
19,Coritiba,42.34466666666667,20,47.50333333333333,16,37.186,20
