,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,12,9,4,5,12,1
1,Palmeiras,10,11,4,7,10,2
2,Cruzeiro,9,7,3,4,9,3
3,Fortaleza,8,9,4,5,8,4
4,São Paulo,7,7,3,4,7,5
5,Fluminense,7,8,5,3,7,6
6,Grêmio,7,6,5,1,7,7
7,Internacional,7,4,4,0,7,8
8,Bahia,6,6,5,1,6,9
9,Athletico-PR,6,5,5,0,6,10
10,Vasco,5,5,5,0,5,11
11,Bragantino,5,6,8,-2,5,12
12,Cuiabá,4,5,6,-1,4,13
13,Santos,4,4,5,-1,4,14
14,Atlético-MG,4,3,5,-2,4,15
15,Corinthians,4,5,7,-2,4,16
16,Flamengo,3,7,7,0,3,17
17,Goiás,3,3,9,-6,3,18
18,Coritiba,1,2,10,-8,1,19
19,América-MG,0,3,11,-8,0,20
