,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Bahia,Goiás,45.487871829717406,26.885474477626236,27.62662407764005,35.78168254370034,24.658898076219174
1,Botafogo,Fluminense,45.182672353485685,24.00517472137161,30.81199223426384,26.445377335571514,19.059711832954616
2,São Paulo,Vasco,48.24405436167074,35.258288896627164,16.49765574867679,63.45945196977577,36.83188035073415
3,Bragantino,Athletico-PR,21.610969343027662,21.51493285375838,56.87327261556205,13.568869905470251,31.49229060147319
4,Coritiba,Atlético-MG,9.840869885494689,16.419469439958792,73.73571765282412,9.288617949021855,47.56485418925371
5,América-MG,Fortaleza,4.746791978856037,10.619416028307716,84.60830433878365,5.228483306788583,55.392204435159954
6,Santos,Palmeiras,33.98604667076141,28.38240482320387,37.631540165901974,30.596521418908328,32.938000007432514
7,Flamengo,Corinthians,61.45191421664823,19.26793177764954,19.277166916825784,29.28378296082027,9.999289602797427
8,Grêmio,Internacional,50.129366433355614,28.55668577898297,21.3139317967445,47.093599389393994,26.710589150431442
9,Cruzeiro,Cuiabá,82.21036881006644,13.709894008687606,4.076513811468585,70.87878127917972,9.797096134749971
