,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,21,16,7,9,9,1
1,Palmeiras,19,20,8,12,9,2
2,Atlético-MG,17,13,7,6,13,3
3,Grêmio,17,14,12,2,10,4
4,Flamengo,16,18,11,7,13,5
5,Fluminense,16,14,9,5,9,6
6,São Paulo,15,15,9,6,8,7
7,Athletico-PR,15,12,11,1,9,8
8,Fortaleza,14,12,6,6,6,9
9,Cruzeiro,13,12,8,4,4,10
10,Bragantino,13,14,13,1,8,11
11,Santos,12,9,8,1,8,12
12,Internacional,11,8,12,-4,4,13
13,Cuiabá,11,8,13,-5,7,14
14,Bahia,8,9,14,-5,2,15
15,Corinthians,8,8,14,-6,4,16
16,Goiás,7,7,16,-9,4,17
17,América-MG,7,9,20,-11,7,18
18,Vasco,6,9,17,-8,1,19
19,Coritiba,3,8,20,-12,2,20
