,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Botafogo,4.0,Atlético-MG,0.7390320713417387,0.8960918773711728,28.1,37.38,34.52,21.11,28.07,19.21,40.32,47.28,87.6
1,Fluminense,4.0,Vasco,1.6041885836627556,0.847226782998302,55.03,19.94,25.03,34.16,11.83,8.58,42.739999999999995,20.41,63.14999999999999
2,Corinthians,4.0,Fortaleza,1.001889289254878,1.3422903705823261,27.52,44.18,28.31,16.65,27.06,9.77,26.419999999999998,36.83,63.25
3,Goiás,4.0,Palmeiras,1.1502665038051596,1.1327321915093607,36.17,35.64,28.18,22.17,21.69,9.9,32.07,31.590000000000003,63.660000000000004
4,Grêmio,4.0,Bragantino,1.4626729124718716,1.1872122289650358,43.65,30.53,25.82,23.52,15.74,7.05,30.57,22.79,53.36
5,América-MG,4.0,Cuiabá,1.6664795581331902,1.205255312809601,48.36,27.58,24.05,24.37,13.43,5.67,30.04,19.1,49.14
6,Bahia,4.0,Coritiba,1.3373819166014858,1.2090770406427378,39.55,33.82,26.63,21.68,18.49,7.93,29.61,26.419999999999998,56.03
7,Athletico-PR,4.0,Flamengo,1.4582860404924618,1.3144903278521238,40.84,34.19,24.98,20.92,16.98,5.99,26.910000000000004,22.97,49.88
8,São Paulo,4.0,Internacional,1.835559415498482,1.353419110780576,49.06,28.38,22.55,21.84,11.7,3.93,25.77,15.629999999999999,41.4
9,Cruzeiro,4.0,Santos,1.909821054804503,2.0333514986182553,37.62,41.84,20.54,11.28,12.58,2.01,13.29,14.59,27.88
