,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Fluminense,Santos,69.22303155541586,18.683956929308508,12.091326138849459,46.09380387992165,11.51832927771259
1,Internacional,Cuiabá,38.571789846092805,36.632547912864375,24.79566202263119,53.63645300187636,42.425965270936736
2,Athletico-PR,Cruzeiro,46.24453348936599,31.61260311433952,22.14286003747992,50.61697376469132,32.39529400114825
3,Corinthians,Vasco,52.42220868050549,32.385827922115276,15.191959900171398,62.734985635997184,32.22646394810728
4,Fortaleza,Bragantino,39.75614010946658,31.07581088613011,29.168046626988065,41.63560941448784,34.068241410738146
5,Atlético-MG,Flamengo,41.008265164941314,27.178491383945207,31.813224105722355,32.34267482319331,26.70551761779726
6,São Paulo,Bahia,71.93216844422746,18.792789296146697,9.274065647802637,56.50411442980323,13.060943014061982
7,Botafogo,Coritiba,87.82448407903422,9.32499167262805,2.8299418036320434,68.64971308527731,5.631442910498994
8,América-MG,Palmeiras,14.520819103369742,18.51047292274264,66.96598380381467,10.232113261300393,38.14656354423224
9,Goiás,Grêmio,30.299513612868395,24.004817366631567,45.6955054713271,18.948080406380228,26.901983103758976
