,clube,ranking_clube,fase
0,Grêmio,3,80.0
1,Botafogo,1,80.0
2,Internacional,8,66.67
3,Flamengo,4,66.67
4,Bragantino,9,66.67
5,Atlético-MG,5,60.0
6,São Paulo,6,60.0
7,Cuiabá,16,53.33
8,Palmeiras,2,53.33
9,Corinthians,15,46.67
10,América-MG,18,46.67
11,Fortaleza,10,46.67
12,Bahia,14,40.0
13,Fluminense,7,33.33
14,Goiás,17,33.33
15,Athletico-PR,11,26.67
16,Santos,13,20.0
17,Coritiba,20,13.33
18,Cruzeiro,12,13.33
19,Vasco,19,0.0
