,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Fortaleza,88.84,1,67.91999999999999,9,109.76000000000002,1
1,Cruzeiro,84.58250000000001,2,85.65,4,83.51500000000001,2
2,Fluminense,83.30250000000001,3,84.56,5,82.045,3
3,São Paulo,79.43,4,102.35,1,56.510000000000005,9
4,Grêmio,67.6225,5,88.38000000000001,2,46.864999999999995,13
5,Botafogo,64.71000000000001,6,62.42000000000001,11,67.0,5
6,Atlético-MG,63.74,7,52.75,14,74.73,4
7,Internacional,62.705,8,70.76,8,54.64999999999999,10
8,Palmeiras,61.50749999999999,9,60.504999999999995,12,62.51,7
9,Flamengo,61.11749999999999,10,78.595,6,43.63999999999999,14
10,Athletico-PR,58.89,11,88.16,3,29.619999999999997,19
11,Santos,55.779999999999994,12,71.63,7,39.92999999999999,15
12,Vasco,53.0025,13,44.455,16,61.55,8
13,Bahia,52.802499999999995,14,40.47,18,65.13499999999999,6
14,Goiás,45.8825,15,65.15,10,26.614999999999995,20
15,Cuiabá,44.84,16,38.95,19,50.73000000000001,11
16,Corinthians,44.11500000000001,17,57.62000000000001,13,30.61,18
17,Coritiba,43.1875,18,49.675000000000004,15,36.7,16
18,América-MG,40.527499999999996,19,31.529999999999998,20,49.525,12
19,Bragantino,36.52499999999999,20,41.40999999999999,17,31.639999999999997,17
