,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Goiás,15.0,Atlético-MG,1.0540778162595654,1.1372062631866888,33.58,37.11,29.3,21.32,23.25,10.83,32.15,34.08,66.22999999999999
1,América-MG,15.0,Vasco,1.5242271018027824,1.15801101145161,45.9,29.02,25.08,24.97,15.3,6.71,31.68,22.01,53.69
2,Internacional,15.0,Palmeiras,1.2860241625022217,1.1622904412689476,38.8,33.3,27.9,22.22,18.73,9.05,31.27,27.78,59.05
3,São Paulo,15.0,Santos,1.5410095599754499,1.1799601575765861,45.37,29.29,25.35,24.21,14.82,6.77,30.98,21.59,52.57
4,Fluminense,15.0,Flamengo,1.4182277953790692,1.1881746841356655,42.23,31.75,26.02,23.28,16.78,6.97,30.25,23.75,54.0
5,Cruzeiro,15.0,Coritiba,1.5503559820688282,1.2261154980205455,45.18,30.36,24.45,23.45,15.3,6.19,29.64,21.490000000000002,51.13
6,Fortaleza,15.0,Cuiabá,1.5202123097488667,1.3253979649140626,42.43,32.84,24.73,20.95,15.7,5.76,26.71,21.46,48.17
7,Corinthians,15.0,Grêmio,1.528316753575056,1.309081813076808,41.71,32.88,25.41,20.65,16.25,6.0,26.65,22.25,48.9
8,Athletico-PR,15.0,Bahia,1.5175543888569956,1.4632393956320808,39.65,36.0,24.35,18.09,16.96,4.89,22.98,21.85,44.83
9,Botafogo,15.0,Bragantino,1.7643631476721575,1.4454229465002006,44.84,31.88,23.28,18.91,13.08,3.9,22.81,16.98,39.79
